Unnamed: 0,data,valor,retorno,valor_atual
7913,2018-01-02,0.00026481000000000003,0.0,50000.0
7914,2018-01-03,0.00026481000000000003,0.0,50013.2405
7915,2018-01-04,0.00026481000000000003,0.0,50026.4845062168
7916,2018-01-05,0.00026481000000000003,0.0,50039.73201957889
7917,2018-01-08,0.00026481000000000003,0.0,50052.983041014995
7918,2018-01-09,0.00026481000000000003,0.0,50066.23757145408
7919,2018-01-10,0.00026481000000000003,0.0,50079.49561182538
7920,2018-01-11,0.00026481000000000003,0.0,50092.75716305835
7921,2018-01-12,0.00026481000000000003,0.0,50106.0222260827
7922,2018-01-15,0.00026481000000000003,0.0,50119.290801828385
7923,2018-01-16,0.00026481000000000003,0.0,50132.562891225614
7924,2018-01-17,0.00026481000000000003,0.0,50145.83849520484
7925,2018-01-18,0.00026481000000000003,0.0,50159.11761469675
7926,2018-01-19,0.00026481000000000003,0.0,50172.400250632294
7927,2018-01-22,0.00026481000000000003,0.0,50185.686403942665
7928,2018-01-23,0.00026481000000000003,0.0,50198.976075559294
7929,2018-01-24,0.00026481000000000003,0.0,50212.26926641387
7930,2018-01-25,0.00026481000000000003,0.0,50225.56597743831
7931,2018-01-26,0.00026481000000000003,0.0,50238.866209564796
7932,2018-01-29,0.00026481000000000003,0.0,50252.16996372575
7933,2018-01-30,0.00026481000000000003,0.0,50265.47724085384
7934,2018-01-31,0.00026481000000000003,0.0,50278.78804188199
7935,2018-02-01,0.00026481000000000003,0.0,50292.10236774336
7936,2018-02-02,0.00026481000000000003,0.0,50305.420219371365
7937,2018-02-05,0.00026481000000000003,0.0,50318.741597699656
7938,2018-02-06,0.00026481000000000003,0.0,50332.06650366214
7939,2018-02-07,0.00026481000000000003,0.0,50345.39493819298
7940,2018-02-08,0.00025551999999999997,-0.00035081756731241364,50358.25919350759
7941,2018-02-09,0.00025551999999999997,0.0,50371.126735896716
7942,2018-02-14,0.00025551999999999997,0.0,50383.997566200276
7943,2018-02-15,0.00025551999999999997,0.0,50396.8716852584
7944,2018-02-16,0.00025551999999999997,0.0,50409.749093911414
7945,2018-02-19,0.00025551999999999997,0.0,50422.62979299989
7946,2018-02-20,0.00025551999999999997,0.0,50435.5137833646
7947,2018-02-21,0.00025551999999999997,0.0,50448.40106584653
7948,2018-02-22,0.00025551999999999997,0.0,50461.29164128687
7949,2018-02-23,0.00025551999999999997,0.0,50474.18551052706
7950,2018-02-26,0.00025551999999999997,0.0,50487.08267440871
7951,2018-02-27,0.00025551999999999997,0.0,50499.983133773676
7952,2018-02-28,0.00025551999999999997,0.0,50512.88688946402
7953,2018-03-01,0.00025551999999999997,0.0,50525.793942322016
7954,2018-03-02,0.00025551999999999997,0.0,50538.70429319016
7955,2018-03-05,0.00025551999999999997,0.0,50551.61794291116
7956,2018-03-06,0.00025551999999999997,0.0,50564.53489232793
7957,2018-03-07,0.00025551999999999997,0.0,50577.45514228362
7958,2018-03-08,0.00025551999999999997,0.0,50590.378693621584
7959,2018-03-09,0.00025551999999999997,0.0,50603.30554718538
7960,2018-03-12,0.00025551999999999997,0.0,50616.2357038188
7961,2018-03-13,0.00025551999999999997,0.0,50629.16916436584
7962,2018-03-14,0.00025551999999999997,0.0,50642.105929670724
7963,2018-03-15,0.00025551999999999997,0.0,50655.04600057788
7964,2018-03-16,0.00025551999999999997,0.0,50667.989377931954
7965,2018-03-19,0.00025551999999999997,0.0,50680.936062577806
7966,2018-03-20,0.00025551999999999997,0.0,50693.88605536052
7967,2018-03-21,0.00025551999999999997,0.0,50706.83935712539
7968,2018-03-22,0.0002462,-0.0003647463994990607,50719.32338097512
7969,2018-03-23,0.0002462,0.0,50731.81047839152
7970,2018-03-26,0.0002462,0.0,50744.30065013131
7971,2018-03-27,0.0002462,0.0,50756.79389695137
7972,2018-03-28,0.0002462,0.0,50769.2902196088
7973,2018-03-29,0.0002462,0.0,50781.78961886087
7974,2018-04-02,0.0002462,0.0,50794.29209546504
7975,2018-04-03,0.0002462,0.0,50806.797650178945
7976,2018-04-04,0.0002462,0.0,50819.30628376042
7977,2018-04-05,0.0002462,0.0,50831.81799696749
7978,2018-04-06,0.0002462,0.0,50844.33279055835
7979,2018-04-09,0.0002462,0.0,50856.85066529139
7980,2018-04-10,0.0002462,0.0,50869.371621925195
7981,2018-04-11,0.0002462,0.0,50881.895661218514
7982,2018-04-12,0.0002462,0.0,50894.42278393031
7983,2018-04-13,0.0002462,0.0,50906.95299081972
7984,2018-04-16,0.0002462,0.0,50919.48628264607
7985,2018-04-17,0.0002462,0.0,50932.022660168856
7986,2018-04-18,0.0002462,0.0,50944.56212414779
7987,2018-04-19,0.0002462,0.0,50957.104675342765
7988,2018-04-20,0.0002462,0.0,50969.65031451384
7989,2018-04-23,0.0002462,0.0,50982.19904242128
7990,2018-04-24,0.0002462,0.0,50994.75085982553
7991,2018-04-25,0.0002462,0.0,51007.305767487225
7992,2018-04-26,0.0002462,0.0,51019.86376616718
7993,2018-04-27,0.0002462,0.0,51032.424856626414
7994,2018-04-30,0.0002462,0.0,51044.98903962612
7995,2018-05-02,0.0002462,0.0,51057.55631592768
7996,2018-05-03,0.0002462,0.0,51070.126686292664
7997,2018-05-04,0.0002462,0.0,51082.70015148284
7998,2018-05-07,0.0002462,0.0,51095.276712260136
7999,2018-05-08,0.0002462,0.0,51107.856369386696
8000,2018-05-09,0.0002462,0.0,51120.43912362484
8001,2018-05-10,0.0002462,0.0,51133.024975737084
8002,2018-05-11,0.0002462,0.0,51145.61392648611
